aphiaID,taxa_name
104740,Pontella securifer
104743,Pontellina plumata
104745,Pontellopsis regalis
104790,Scaphocalanus brevicornis
104793,Scaphocalanus echinatus
104811,Scolecithricella minor
104813,Scolecithricella orientalis
104820,Scolecithrix bradyi
104821,Scolecithrix danae
104832,Scottocalanus persecans
104833,Scottocalanus securifrons
104878,Temora longicornis
104879,Temora stylifera
104880,Temora turbinata
104881,Temoropia mayumbaensis
104906,Branchiostoma lanceolatum
105403,Pterosagitta spp.
105406,Flaccisagitta spp.
105409,Pseudosagitta sp.
105416,Eukrohnia hamata
105434,Flaccisagitta enflata
105464,Serratosagitta serratodentata
105465,Serratosagitta tasmanica
106087,Lepas nauplii
106267,Evadne spp
106269,Podon spp.
106272,Penilia avirostris
106273,Evadne nordmanni
106274,Evadne spinifera
106276,Podon intermedius
106278,Pseudevadne tergestina
106485,Oithona
106642,Oithona atlantica
106644,Oithona decipiens
106649,Oithona longispina
106651,Oithona nana
106652,Oithona plumifera
106656,Oithona similis
106658,Oithona tenuis
106669,Dendrobranchiata
106671,Anomura
106673,Brachyuran
106674,Caridea
106731,Sergestid protozoea
106734,Porcelain crab
106758,Leucosiid
106776,Alpheid
106800,Callianassidae
106827,Lucifer spp.
106992,Lysmata spp.
107018,Ephyra larva
107060,Phyllosoma
107122,Lucifer typus
109459,Amphisolenia spp.
109462,Dinophysis spp. Total
109463,Histioneis spp.
109464,Ornithocercus spp.
109466,Phalacroma spp.
109470,Alexandrium spp.
109475,Gymnodinium spp.
109476,Gyrodinium spp.
109477,Katodinium spp.
109507,Ceratocorys spp.
109509,Cladopyxis spp.
109519,Gonyaulax spp.
109526,Centrodinium spp.
109527,Corythodinium spp.
109528,Oxytoxum spp.
109538,Glenodinium spp.
109545,Scrippsiella spp.
109550,Podolampas spp.
109553,Protoperidinium spp.
109555,Pyrophacus spp.
109566,Prorocentrum spp. Total
109571,Pyrocystis spp.
109603,Dinophysis acuminata
109604,Dinophysis acuta
109612,Dinophysis caudata
109624,Dinophysis fortii
109637,Dinophysis norvegica
109651,Dinophysis punctata
109662,Dinophysis tripos
109717,Actiniscus pentasterias
109888,Ptychodiscus noctiluca
109901,Polykrikos schwartzii cysts
109903,Pronoctiluca pelagica
109921,Noctiluca scintillans
109929,Ceratium arietinum
109930,Ceratium azoricum
109931,Ceratium belone
109932,Ceratium breve
109934,Ceratium buceros
109935,Ceratium candelabrum
109936,Ceratium carriense
109939,Ceratium compressum
109940,Ceratium concilians
109941,Ceratium contortum
109943,Ceratium declinatum
109947,Ceratium extensum
109948,Ceratium falcatiforme
109949,Ceratium falcatum
109950,Ceratium furca
109951,Ceratium fusus
109952,Ceratium geniculatum
109953,Ceratium gibberum
109955,Ceratium hexacanthum
109956,Ceratium horridum
109958,Ceratium inflatum
109960,Ceratium karstenii
109961,Ceratium kofoidii
109962,Ceratium limulus
109963,Ceratium lineatum
109964,Ceratium longipes
109965,Ceratium longirostrum
109967,Ceratium macroceros
109968,Ceratium massiliense
109969,Ceratium minutum
109971,Ceratium pavillardii
109972,Ceratium pentagonum
109973,Ceratium praelongum
109974,Ceratium pulchellum
109975,Ceratium ranipes
109977,Ceratium setaceum
109979,Ceratium symmetricum
109980,Ceratium teres
109981,Ceratium trichoceros
109982,Ceratium tripos
109983,Ceratium vultur
110005,Amphidoma caudata
110178,Blepharocysta paulsenii
110298,Prorocentrum dentatum
110303,Prorocentrum micans
110311,Prorocentrum rostratum
110671,Euphausid
110673,Euphausia spp.
110677,Nyctiphanes spp.
110678,Stylocheiron spp.
110679,Thysanoessa spp.
110685,Euphausia hanseni
110695,Nematoscelis megalops
110703,Stylocheiron longicorne
110707,Thysanoessa gregaria
111929,Globigerinidae
111930,Globorotaliidae
112086,Rotalia spp.
112200,Globorotalia spp.
113434,Globigerina bulloides
113449,Globorotalia inflata
113458,Neogloboquadrina pachyderma
113462,Turborotalita quinqueloba
113465,Globigerinita uvula
113474,Neogloboquadrina incompta
115075,Meringosphaera spp.
115106,Phaeocystis pouchetii
115145,Clytemnestridae
115163,Miraciidae
115183,Tisbidae spp.
115187,Ambunguipes spp.
115273,Clytemnestra spp.
115341,Microsetella spp.
115348,Euterpina spp.
115408,Macrosetella spp.
115427,Alteutha spp.
115805,Clytemnestra scutellata
116115,Microsetella norvegica
116116,Microsetella rosea
116162,Euterpina acutifrons
116382,Macrosetella gracilis
116383,Miracia efferata
116384,Oculosetella gracilis
116598,Parathalestris croni
117080,Eirene spp.
117267,Solmundella bitentaculata
117568,Liriope tetraphylla
117851,Aglaura hemistoma
118403,Metacirolana spp.
