aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,taxa_name,TG_latest,unreviewed_traitValue,References,PataHunt_traitValue,filter_or_not,campbell_diet,same_or_not,global_totalAbundance,global_relativeAbundance,auscpr_totalAbundance,auscpr_relativeAbundance,natlantic_totalAbundance,natlantic_relativeAbundance,npacific_totalAbundance,npacific_relativeAbundance,socpr_totalAbundance,socpr_relativeAbundance
140227,Limacina retroversa,Limacina retroversa,4849,"(J. Fleming, 1823)",220,Species,138122,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,Limacina retroversa,urn:lsid:marinespecies.org:taxname:140227,"Limacina retroversa (J. Fleming, 1823)",Pteropod,Limacina retroversa,Limacina retroversa,omnivore,omnivore,[R] [P],omnivore,0,NA,NA,890.0037,5.95391133291728E-07,890.0037,0.001129397,NA,NA,NA,NA,NA,NA
23020,Euthecosomata,Euthecosomata,4829,"Meisenheimer, 1905",110,Suborder,325345,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,urn:lsid:marinespecies.org:taxname:23020,"Euthecosomata Meisenheimer, 1905",Pteropod,Thecosomata (Pacific),NA,omnivore,NA,Koppelmann et al. (2013; 10.1017/S0025315413000052),not determined,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
23000,Cavoliniidae,Cavoliniidae,4784,"Gray, 1850 (1815)",140,Family,411903,Animalia,Mollusca,Gastropoda,Pteropoda,Cavoliniidae,NA,NA,urn:lsid:marinespecies.org:taxname:23000,"Cavoliniidae Gray, 1850 (1815)",Pteropod,Cavoliniidae,Cavoliniidae,omnivore,not_determined,"Mucous web feeder (Gilmer & Harbison, 1986; 10.1007/bf00397570)",not determined,0,NA,NA,2071.5614,1.38582490121041E-06,2071.5614,0.00262877,NA,NA,NA,NA,NA,NA
164,Gymnosomata,Gymnosomata,4833,"Blainville, 1824",110,Suborder,325345,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,urn:lsid:marinespecies.org:taxname:164,"Gymnosomata Blainville, 1824",Pteropod,Gymnosomata,Gymnosomata (Unidentified),NA,carnivore,Comprised of omni and carni,carnivore,0,NA,NA,427,2.85652760674688E-07,NA,NA,427,NA,NA,NA,NA,NA
325345,Pteropoda,Pteropoda,4873,"Cuvier, 1804",100,Order,1057250,Animalia,Mollusca,Gastropoda,Pteropoda,NA,NA,NA,urn:lsid:marinespecies.org:taxname:325345,"Pteropoda Cuvier, 1804",Pteropod,Pteropod,Pteropod,NA,not_determined,Comprised of omni and carni,not determined,0,NA,NA,69.6667,4.6605351714487E-08,10.6667,1.35358312159593E-05,NA,NA,NA,NA,59,7.275099246534E-06
411917,Hydromylidae,Hydromylidae,4842,"Pruvot-Fol, 1942 (1862)",140,Family,411915,Animalia,Mollusca,Gastropoda,Pteropoda,Hydromylidae,NA,NA,urn:lsid:marinespecies.org:taxname:411917,"Hydromylidae Pruvot-Fol, 1942 (1862)",Pteropod,Hydromylidae,Hydromylidae,NA,not_determined,NA,not determined,0,NA,NA,0.6667,4.46006312744087E-10,0.6667,8.46029106629046E-07,NA,NA,NA,NA,NA,NA
138327,Peracle,Peracle,4859,"Forbes, 1844",180,Genus,23089,Animalia,Mollusca,Gastropoda,Pteropoda,Peraclidae,Peracle,NA,urn:lsid:marinespecies.org:taxname:138327,"Peracle Forbes, 1844",Pteropod,Peraclis spp.,Peraclis spp.,omnivore,not_determined,"Mucous web feeder (Gilmer & Harbison, 1986; 10.1007/bf00397570)",not determined,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
533451,Spongiobranchaea australis,Spongiobranchaea australis,4875,"d'Orbigny, 1836",220,Species,531993,Animalia,Mollusca,Gastropoda,Pteropoda,Pneumodermatidae,Spongiobranchaea,Spongiobranchaea australis,urn:lsid:marinespecies.org:taxname:533451,"Spongiobranchaea australis d'Orbigny, 1836",Pteropod,Spongiobranchaea australis,Spongiobranchaea australis,carnivore,carnivore,[P],carnivore,0,NA,NA,114.0001,7.62633332135252E-08,6.0001,7.61400816361923E-06,NA,NA,NA,NA,108,1.33171308241639E-05
137216,Pyrosomatidae,Pyrosomatidae,5224,"Lahille, 1888",140,Family,137213,Animalia,Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NA,NA,urn:lsid:marinespecies.org:taxname:137216,"Pyrosomatidae Lahille, 1888",Thaliacean,Pyrosomatidae indet,Pyrosomatidae indet,filter-feeder,not_determined,NA,not determined,1,NA,NA,394,2.63576552004155E-07,NA,NA,NA,NA,NA,NA,394,4.85828661548203E-05
137224,Pyrosoma,Pyrosoma,5222,"P̩ron, 1804",180,Genus,719849,Animalia,Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,Pyrosoma,NA,urn:lsid:marinespecies.org:taxname:137224,"Pyrosoma P̩ron, 1804",Thaliacean,Pyrosome,Pyrosome,filter-feeder,not_determined,NA,not determined,1,NA,NA,52.0009,3.47873551348043E-08,52.0009,6.5988113050707E-05,NA,NA,NA,NA,NA,NA
137217,Salpidae,Salpidae,5239,"Lahille, 1888",140,Family,137214,Animalia,Chordata,Thaliacea,Salpida,Salpidae,NA,NA,urn:lsid:marinespecies.org:taxname:137217,"Salpidae Lahille, 1888",Thaliacean,Salpidae,Salpidae,filter-feeder,not_determined,NA,not determined,1,NA,NA,26834.0239,1.79513185176696E-05,7133.0239,0.009051666,16402,NA,867,6.40833106809548E-07,2432,0.00029988205707746
266545,Salpa thompsoni,Salpa thompsoni,5237,"Foxton, 1961",220,Species,137233,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,Salpa thompsoni,urn:lsid:marinespecies.org:taxname:266545,"Salpa thompsoni Foxton, 1961",Thaliacean,Salpa thompsoni,Salpa thompsoni,filter-feeder,not_determined,NA,not determined,1,NA,NA,5425,3.6291949102095E-06,NA,NA,NA,NA,NA,NA,5425,0.00066893921038045
137272,Salpa fusiformis,Salpa fusiformes,5235,"Cuvier, 1804",220,Species,137233,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,Salpa fusiformis,urn:lsid:marinespecies.org:taxname:137272,"Salpa fusiformis Cuvier, 1804",Thaliacean,Salpa fusiformis,Salpa fusiformis,filter-feeder,omnivore; herbivore,NA,omnivore; herbivore,1,NA,NA,243,1.62561172936573E-07,NA,NA,NA,NA,NA,NA,243,2.99635443543689E-05
