sample_id,zoopTotal_sum,FF_sum,Omni_sum,Carni_sum,Cope_omni_sum,Cope_carni_sum,Cal_omni_sum,Cal_carni_sum,Cyc_omni_sum,Cyc_carni_sum,otherCopepods_omni_sum,otherCopepods_carni_sum
155-30,90.6668,6.6667,2.6667,81.3334,2.6667,80,2.6667,0,0,80,0,0
155-31,151.3335,13.3333,4.6668,133.3334,2.0001,132.6667,2.0001,0,0,132.6667,2,0
155-32,124.0001,6.6667,4.0001,113.3333,2.6667,111.3333,2.6667,0.6667,0,110.6666,0.6667,0
155-33,134.0001,2.6667,8,123.3334,8,122.6667,8,4,0,118.6667,0,0
155-34,103.3333,7.3333,11.3333,84.6667,11.3333,84.6667,11.3333,12.6667,0,72,0,0
155-35,158.0001,11.3333,18,128.6668,16,128.0001,16,4.6667,0,123.3334,0,0
155-36,192.0001,8,16.0001,168,15.3334,167.3333,15.3334,4,0,163.3333,0,0
155-37,120.6668,3.3333,10.0001,107.3334,10.0001,107.3334,10.0001,4.6667,0,102.6667,0,0
155-38,170.6666,8,20.6666,142,19.3332,142,19.3332,1.3333,0,140.6667,0.6667,0
155-39,127.3334,3.3333,10.6667,113.3334,10.6667,112.6667,10.6667,4,0,108.6667,0,0
155-4,60.6669,0.6667,11.3335,48.6667,4.6668,48.6667,4.0001,0.6667,0.6667,48,0,0
155-40,148,4.6667,6.6666,136.6667,6.6666,136.6667,6.6666,2,0,134.6667,0,0
155-41,191.3335,6.6667,14.0001,170.6667,11.3334,170,11.3334,2,0,168,0.6667,0
155-42,154.6667,13.3333,22.6667,118.6667,20,118.6667,20,4.6667,0,114,2,0
155-43,170.0002,6.6667,31.3335,132,27.3334,132,27.3334,6,0,126,0.6667,0
155-44,86.6667,16,6,64.6667,4.6666,64.6667,4.6666,0.6667,0,64,0,0
155-5,32.0001,8.6667,4.6667,18.6667,2,18.6667,2,0.6667,0,18,0,0
155-6,14,4.6667,2.6667,6.6666,0.6667,6.6666,0.6667,0,0,6.6666,0,0
155-7,12.6667,2,2,8.6667,0.6667,8.6667,0.6667,0.6667,0,8,0,0
155-8,8.6667,6.6667,0.6667,1.3333,0,1.3333,0,0,0,1.3333,0,0
155-9,12.6667,4,2.6666,6.0001,1.3333,6.0001,1.3333,0.6667,0,5.3334,0,0
156-1,34.0001,10,4.6667,19.3334,4.6667,19.3334,4.6667,0.6667,0,18.6667,0,0
156-10,26.6667,8,0.6667,18,0.6667,17.3333,0.6667,0,0,17.3333,0,0
156-11,38.6666,13.3333,1.3333,24,1.3333,24,1.3333,0,0,24,0,0
156-12,41.9999,7.3333,2,32.6666,1.3333,32.6666,1.3333,0,0,32.6666,0,0
156-13,49.3334,9.3333,6.6667,33.3334,6.6667,32.6667,6.6667,0,0,32.6667,0,0
156-14,36.6666,7.3333,3.3333,26,2,26,2,0,0,26,0,0
156-15,27.3334,6,2.6667,18.6667,2.6667,18.6667,2.6667,0,0,18.6667,0,0
156-16,38,14,3.3334,20.6666,3.3334,20.6666,2.6667,0,0.6667,20.6666,0,0
156-17,26.6667,9.3333,2,15.3334,1.3333,13.3334,1.3333,0,0,13.3334,0,0
156-18,61.3333,16.6667,2,42.6666,1.3333,42.6666,1.3333,0,0,42.6666,0,0
156-19,66,20.6667,1.3333,44,1.3333,43.3333,1.3333,0,0,43.3333,0,0
156-2,34.0001,12.6667,2.6667,18.6667,2.6667,18.6667,2.6667,0,0,18.6667,0,0
156-20,60,20,2,38,2,38,2,0.6667,0,37.3333,0,0
156-21,36.6666,11.3333,1.3333,24,1.3333,24,1.3333,0,0,24,0,0
156-22,16.6666,11.3333,0,5.3333,0,5.3333,0,0,0,5.3333,0,0
156-23,13.3333,4.6667,0,8.6666,0,7.3333,0,0,0,7.3333,0,0
156-24,16.6667,8.6667,0.6667,7.3333,0.6667,7.3333,0.6667,0,0,7.3333,0,0
156-25,15.3334,6,0.6667,8.6667,0,8.6667,0,0.6667,0,8,0,0
156-26,10.6667,4,2.6667,4,2,3.3333,2,0,0,3.3333,0,0
156-27,4,1.3333,0.6667,2,0,2,0,0,0,2,0,0
156-28,4.6667,0.6667,0,4,0,2,0,0,0,2,0,0
156-29,10.6666,7.3333,0,3.3333,0,2,0,0,0,2,0,0
156-3,20.0001,10,0.6667,9.3334,0.6667,8.6667,0.6667,0,0,8.6667,0,0
156-30,13.3333,3.3333,6.6667,3.3333,6,2,5.3333,0,0.6667,2,0,0
156-4,30,11.3333,0.6667,18,0.6667,17.3333,0.6667,0,0,17.3333,0,0
156-5,33.3335,4,1.3334,28.0001,1.3334,27.3334,0.6667,0,0.6667,27.3334,0,0
156-6,25.3334,8.6667,0,16.6667,0,16.6667,0,0,0,16.6667,0,0
156-7,19.3333,13.3333,0,6,0,6,0,0,0,6,0,0
156-8,20,13.3333,0,6.6667,0,6.6667,0,0,0,6.6667,0,0
156-9,20.6667,6.6667,2,12,1.3333,12,1.3333,0,0,12,0,0
157-1,4.6666,2,0,2.6666,0,1.3333,0,0,0,1.3333,0,0
157-10,46.6666,0,12,34.6666,8,31.3333,8,0,0,31.3333,0,0
157-11,60,3.3333,15.3334,41.3333,10.6667,40,10.6667,0,0,40,0,0
157-12,59.3335,0,18.6668,40.6667,14.0001,38,14.0001,0,0,38,0,0
157-13,48.6667,3.3333,19.3334,26,17.3334,25.3333,17.3334,0,0,25.3333,0,0
157-14,66.6667,1.3333,18.6667,46.6667,16.6667,44,16.6667,0,0,44,0,0
157-15,96.6668,4.6667,30.0001,62,16.6667,60,16.6667,0,0,60,0,0
157-16,93.3333,2,16,75.3333,6,75.3333,6,0,0,75.3333,0,0
157-17,63.3333,5.3333,15.9999,42.0001,5.9999,41.3334,5.9999,0,0,41.3334,0,0
157-18,83.3334,0.6667,28,54.6667,20.6667,54.6667,20.6667,0,0,54.6667,0,0
